,AFFGEOID,Zugeschnitten_area_full,Zugeschnitten_area_clipped,Anzahl_centers_in_counties
2169,0500000US31131,1606440256.109,1.606.440.256,0
2170,0500000US42123,2331286683.155,1.238.230.273,0
2171,0500000US44003,,,0
2172,0500000US27045,2234426020.435,1.289.926.232,0
2173,0500000US27049,2021811835.6820002,1.928.460.026,0
2174,0500000US29083,1902589287.3879998,519.382.885,0
2175,0500000US29093,,,0
2176,0500000US29097,1667167705.581,1.667.167.706,1
2177,0500000US31139,1490162031.732,699.911.148,0
2178,0500000US31141,1775787213.629,898.083,0
2179,0500000US31145,,,0
2180,0500000US45011,1450988939.6120002,1.444.203.267,0
2181,0500000US45023,1525410958.121,1.525.410.958,0
2182,0500000US39119,1746426916.274,1.425.245.464,0
2183,0500000US51169,1401077579.474,1.401.077.579,0
2184,0500000US55125,,,0
2185,0500000US55129,2209125578.155,282.213.346,0
2186,0500000US55131,1129073700.528,1.129.073.701,0
2187,0500000US55139,1498936493.775,1.498.936.494,2
2188,0500000US47103,1484920533.822,1.484.920.534,0
2189,0500000US47109,1466012932.31,1.466.012.932,0
2190,0500000US49055,,,0
2191,0500000US50003,,,0
2192,0500000US51173,1176924444.763,1.072.058.274,0
2193,0500000US51510,40033264.57,40.033.265,0
2194,0500000US51530,16956464.118,16.956.464,0
2195,0500000US55141,2096845476.201,2.096.845.476,0
2196,0500000US56007,20657228157.542,,0
2197,0500000US56011,,,0
2198,0500000US56017,,,0
2199,0500000US47113,1453109535.5479999,1.453.109.536,1
2200,0500000US47131,1444210320.599,441.535.129,0
2201,0500000US50007,,,0
2202,0500000US50011,,,0
2203,0500000US50023,,,0
2204,0500000US51550,912297612.651,912.297.613,1
2205,0500000US51580,14692791.810999999,14.692.792,0
2206,0500000US51600,16251080.476,16.251.080,0
2207,0500000US51620,21757910.505999997,21.757.911,0
2208,0500000US51640,,,0
2209,0500000US56023,10616611558.095,743.215.036,0
2210,0500000US56031,5476493613.407001,1.390.107.342,0
2211,0500000US56037,,,0
2212,0500000US01007,1631243524.89,1.631.243.525,0
2213,0500000US47133,,,0
2214,0500000US47161,1283007222.9919999,1.283.007.223,0
2215,0500000US51013,67564503.995,67.564.504,0
2216,0500000US51045,855394901.81,855.394.902,0
2217,0500000US51650,152808953.36200002,152.808.953,2
2218,0500000US51680,128787114.84200001,128.787.115,1
2219,0500000US51683,25640467.952,25.640.468,0
2220,0500000US01019,1561562722.082,435.071.823,0
2221,0500000US01031,1773783564.904,1.773.783.565,0
2222,0500000US01123,1995869537.3579998,1.995.869.537,0
2223,0500000US02185,,,0
2224,0500000US47175,714116375.947,627.530.085,0
2225,0500000US51077,1157979674.445,452.359.106,0
2226,0500000US39075,1100403189.7810001,1.100.403.190,0
2227,0500000US51710,161009065.408,161.009.065,1
2228,0500000US51730,59593371.616000004,59.593.372,1
2229,0500000US51750,26014500.273000002,26.014.500,0
2230,0500000US06007,,,0
2231,0500000US06029,21233161055.654,,2
2232,0500000US06095,2312312376.07,,0
2233,0500000US08063,,,0
2234,0500000US08115,,,0
2235,0500000US47181,1913826422.9910002,1.913.826.423,0
2236,0500000US48009,2409522129.5039997,,0
2237,0500000US48013,3186602337.061,,0
2238,0500000US48037,2403199532.227,,0
2239,0500000US48043,,,0
2240,0500000US48053,2662230378.808,,0
2241,0500000US48067,2500888011.924,,0
2242,0500000US48071,1661505714.0770001,1.661.505.714,0
2243,0500000US28045,1265525889.45,1.265.525.889,0
2244,0500000US24510,224408448.657,224.408.449,2
2245,0500000US51770,111420414.38,111.420.414,1
2246,0500000US51775,37961247.346,37.961.247,0
2247,0500000US51840,23904164.915,23.904.165,0
2248,0500000US12019,1678008373.9529998,1.678.008.374,1
2249,0500000US12049,1666095726.949,1.666.095.727,0
2250,0500000US13079,850373932.365,850.373.932,0
2251,0500000US13165,918038436.077,736.959.581,0
2252,0500000US48077,2906487391.9509997,,0
2253,0500000US48081,2417791251.6089997,,0
2254,0500000US48085,2307651287.829,,0
